joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,tcp_rx,tcp_ry,tcp_rz,tcp_x,tcp_y,tcp_z,timestamp
-6.599,-100.35,98.742,-85.414,-88.899,67.284,177.834,-2.322,16.132,-583.086,-94.658,773.293,7.361
-6.599,-100.33,98.752,-85.413,-88.9,67.284,177.823,-2.351,16.133,-583.273,-94.635,772.972,7.461
-6.599,-100.327,98.755,-85.412,-88.9,67.284,177.82,-2.357,16.133,-583.302,-94.631,772.904,7.562
-6.599,-100.327,98.756,-85.412,-88.9,67.285,177.82,-2.359,16.133,-583.299,-94.631,772.892,7.663
-6.599,-100.327,98.757,-85.411,-88.9,67.285,177.82,-2.36,16.133,-583.294,-94.633,772.882,7.764
-6.599,-100.327,98.757,-85.411,-88.901,67.285,177.82,-2.361,16.133,-583.295,-94.63,772.871,7.865
-6.599,-100.327,98.758,-85.411,-88.901,67.284,177.82,-2.362,16.133,-583.294,-94.632,772.866,7.966
-6.599,-100.327,98.758,-85.411,-88.901,67.285,177.819,-2.362,16.133,-583.293,-94.631,772.86,8.067
-6.599,-100.327,98.758,-85.411,-88.901,67.284,177.819,-2.362,16.133,-583.293,-94.63,772.858,8.167
-6.599,-100.326,98.759,-85.411,-88.9,67.284,177.819,-2.363,16.133,-583.294,-94.631,772.85,8.268
-6.599,-100.326,98.759,-85.411,-88.9,67.285,177.818,-2.363,16.133,-583.294,-94.632,772.848,8.369
-6.599,-100.326,98.759,-85.411,-88.9,67.285,177.818,-2.363,16.133,-583.293,-94.634,772.845,8.469
-6.599,-100.326,98.76,-85.411,-88.9,67.284,177.818,-2.363,16.133,-583.293,-94.632,772.84,8.57
-6.599,-100.326,98.76,-85.411,-88.9,67.284,177.818,-2.364,16.133,-583.295,-94.632,772.833,8.671
-6.599,-100.326,98.76,-85.411,-88.9,67.285,177.818,-2.364,16.133,-583.292,-94.634,772.835,8.772
-6.599,-100.326,98.76,-85.411,-88.9,67.285,177.818,-2.364,16.133,-583.293,-94.634,772.83,8.872
-6.599,-100.326,98.761,-85.41,-88.9,67.285,177.818,-2.365,16.133,-583.293,-94.634,772.827,8.973
-6.599,-100.326,98.761,-85.411,-88.9,67.285,177.818,-2.365,16.133,-583.293,-94.632,772.825,9.074
-6.599,-100.326,98.761,-85.41,-88.9,67.284,177.817,-2.365,16.133,-583.292,-94.632,772.819,9.176
-6.599,-100.327,98.761,-85.411,-88.9,67.285,177.818,-2.365,16.133,-583.288,-94.632,772.824,9.276
-6.599,-100.327,98.761,-85.411,-88.9,67.284,177.818,-2.365,16.133,-583.283,-94.633,772.825,9.377
-6.599,-100.327,98.762,-85.411,-88.9,67.284,177.817,-2.365,16.133,-583.285,-94.633,772.82,9.478
-6.599,-100.327,98.762,-85.41,-88.9,67.284,177.817,-2.365,16.133,-583.285,-94.633,772.82,9.578
-6.599,-100.327,98.762,-85.411,-88.9,67.284,177.818,-2.365,16.133,-583.282,-94.635,772.817,9.679
-6.599,-100.327,98.762,-85.41,-88.9,67.285,177.817,-2.365,16.133,-583.284,-94.636,772.815,9.78
-6.599,-100.326,98.763,-85.411,-88.9,67.284,177.817,-2.366,16.133,-583.288,-94.632,772.806,9.881
-6.599,-100.326,98.763,-85.41,-88.9,67.285,177.816,-2.367,16.133,-583.289,-94.635,772.8,9.981
-6.599,-100.326,98.763,-85.411,-88.9,67.284,177.817,-2.367,16.133,-583.289,-94.634,772.801,10.082
-6.599,-100.326,98.763,-85.41,-88.9,67.285,177.817,-2.367,16.133,-583.292,-94.632,772.798,10.183
-6.599,-100.326,98.763,-85.411,-88.9,67.284,177.816,-2.367,16.133,-583.29,-94.633,772.798,10.283
-6.599,-100.326,98.763,-85.41,-88.9,67.284,177.816,-2.367,16.133,-583.289,-94.632,772.795,10.384
-6.599,-100.326,98.763,-85.41,-88.9,67.285,177.816,-2.367,16.133,-583.289,-94.632,772.795,10.485
-6.599,-100.326,98.763,-85.41,-88.9,67.284,177.816,-2.367,16.133,-583.288,-94.632,772.793,10.586
-6.599,-100.326,98.764,-85.41,-88.9,67.285,177.816,-2.368,16.133,-583.288,-94.635,772.79,10.687
-6.599,-100.326,98.764,-85.41,-88.9,67.285,177.816,-2.368,16.133,-583.29,-94.633,772.785,10.788
-6.599,-100.326,98.764,-85.41,-88.9,67.284,177.816,-2.368,16.133,-583.287,-94.635,772.785,10.889
-6.599,-100.326,98.764,-85.41,-88.9,67.285,177.816,-2.368,16.133,-583.287,-94.634,772.785,10.99
-6.599,-100.326,98.764,-85.41,-88.9,67.285,177.816,-2.368,16.133,-583.287,-94.635,772.785,11.09
-6.599,-100.326,98.764,-85.41,-88.9,67.285,177.816,-2.368,16.133,-583.289,-94.635,772.78,11.191
-6.599,-100.326,98.764,-85.41,-88.9,67.284,177.816,-2.369,16.133,-583.289,-94.632,772.777,11.292
-6.599,-100.326,98.764,-85.411,-88.9,67.285,177.816,-2.368,16.133,-583.287,-94.635,772.78,11.393
-6.598,-100.326,98.765,-85.41,-88.9,67.285,177.816,-2.369,16.133,-583.285,-94.637,772.774,11.494
-6.599,-100.326,98.765,-85.41,-88.9,67.284,177.816,-2.369,16.133,-583.285,-94.633,772.771,11.594
-6.599,-100.326,98.765,-85.41,-88.9,67.284,177.816,-2.369,16.133,-583.287,-94.632,772.767,11.695
-6.599,-100.326,98.765,-85.411,-88.9,67.285,177.816,-2.369,16.133,-583.288,-94.632,772.77,11.796
-6.599,-100.326,98.766,-85.411,-88.9,67.284,177.816,-2.369,16.133,-583.287,-94.635,772.764,11.898
-6.599,-100.326,98.765,-85.41,-88.9,67.285,177.816,-2.369,16.133,-583.287,-94.632,772.767,11.999
-6.599,-100.326,98.766,-85.41,-88.9,67.284,177.815,-2.37,16.133,-583.287,-94.635,772.764,12.1
